ラテン文字	コプト文字
9	ｲ底九底
8	ｲ底八底
7	ｲ底七底
6	ｲ底六底
5	ｲ底五底
4	ｲ底四底
3	ｲ底三底
2	ｲ底二底
1	ｲ底一底
0	ｲ底零底
底九底ﾛ	ﾊ十九十
底八底ﾛ	ﾊ十八十
底七底ﾛ	ﾊ十七十
底六底ﾛ	ﾊ十六十
底五底ﾛ	ﾊ十五十
底四底ﾛ	ﾊ十四十
底三底ﾛ	ﾊ十三十
底二底ﾛ	ﾊ十二十
底一底ﾛ	ﾊ十一十
底零底ﾛ	ﾊ十零十
十九十ﾆ	ﾎ百九百
十八十ﾆ	ﾎ百八百
十七十ﾆ	ﾎ百七百
十六十ﾆ	ﾎ百六百
十五十ﾆ	ﾎ百五百
十四十ﾆ	ﾎ百四百
十三十ﾆ	ﾎ百三百
十二十ﾆ	ﾎ百二百
十一十ﾆ	ﾎ百一百
十零十ﾆ	ﾎ百零百
百九百ﾍ	ﾄ千九千
百八百ﾍ	ﾄ千八千
百七百ﾍ	ﾄ千七千
百六百ﾍ	ﾄ千六千
百五百ﾍ	ﾄ千五千
百四百ﾍ	ﾄ千四千
百三百ﾍ	ﾄ千三千
百二百ﾍ	ﾄ千二千
百一百ﾍ	ﾄ千一千
百零百ﾍ	ﾄ千零千
ｲ	ﾛ
ﾊ	ﾆ
ﾎ	ﾍ
ﾄ	ﾁ

##9000	##ⲑ̿
##8000	##ⲏ̿
##7000	##ⲍ̿
##6000	##ⲋ̿
##5000	##ⲉ̿
##4000	##ⲇ̿
##3000	##ⲅ̿
##2000	##ⲃ̿
##1000	##ⲁ̿
##900	##ⳁ
##800	##ⲱ̅
##700	##ⲯ̅
##600	##ϧ̅
##500	##ⲫ̅
##400	##ⲩ̅
##300	##ⲧ̅
##200	##ⲥ̅
##100	##ⲣ̅
##90	##ϥ̅
##80	##ⲡ̅
##70	##ⲟ̅
##60	##ⲝ̅
##50	##ⲛ̅
##40	##ⲙ̅
##30	##ⲗ̅
##20	##ⲕ̅
##10	##ⲓ̅
##9	##ⲑ̅
##8	##ⲏ̅
##7	##ⲍ̅
##6	##ⲋ̅
##5	##ⲉ̅
##4	##ⲇ̅
##3	##ⲅ̅
##2	##ⲃ̅
##1	##ⲁ̅


A	Ⲁ
a	ⲁ
B	Ⲃ
b	ⲃ
G	Ⲅ
g	ⲅ
D	Ⲇ
d	ⲇ
Z	Ⲍ
z	ⲍ
Ē	Ⲏ
EE	Ⲏ
ē	ⲏ
ee	ⲏ
E	Ⲉ
e	ⲉ
St	Ⲋ
st	ⲋ
Th	Ⲑ
th	ⲑ
L	Ⲗ
l	ⲗ
M	Ⲙ
m	ⲙ
N	Ⲛ
n	ⲛ
Ks	Ⲝ
ks	ⲝ
R	Ⲣ
r	ⲣ
U	Ⲩ
u	ⲩ
Ph	Ⲫ
ph	ⲫ
Kh	Ⲭ
kh	ⲭ
Ps	Ⲯ
ps	ⲯ
P	Ⲡ
p	ⲡ
Ō	Ⲱ
OO	Ⲱ
ō	ⲱ
oo	ⲱ
O	Ⲟ
o	ⲟ
Š	Ϣ
Sh	Ϣ
š	ϣ
sh	ϣ
S	Ⲥ
s	ⲥ
F	Ϥ
f	ϥ
Č	Ϫ
Ch	Ϫ
č	ϫ
ch	ϫ
H	Ϩ
h	ϩ
Ki	Ϭ
ki	ϭ
Ky	Ϭ
ky	ϭ
K	Ⲕ
k	ⲕ
Ti	Ϯ
ti	ϯ
T	Ⲧ
t	ⲧ
I	Ⲓ
i	ⲓ
X	Ϧ
x	ϧ
=	̿
-	̄
_	̅
