ラテン文字	ゲエズ文字

 	፡
,	፣
,	፥
;	፤
.	።
	፨

lä	ለ
lu	ሉ
li	ሊ
la	ላ
le	ሌ
lə	ል
lE	ል
lo	ሎ
lwa	ሏ

ḥä	ሐ
ḥu	ሑ
ḥi	ሒ
ḥa	ሓ
ḥe	ሔ
ḥə	ሕ
ḥE	ሕ
ḥo	ሖ
ḥwa	ሗ

Hä	ሐ
Hu	ሑ
Hi	ሒ
Ha	ሓ
He	ሔ
Hə	ሕ
HE	ሕ
Ho	ሖ
Hwa	ሗ

mä	መ
mu	ሙ
mi	ሚ
ma	ማ
me	ሜ
mə	ም
mE	ም
mo	ሞ
mwa	ሟ
myä	ፙ

śä	ሠ
śu	ሡ
śi	ሢ
śa	ሣ
śe	ሤ
śə	ሥ
śE	ሥ
śo	ሦ
śwa	ሧ

'sä	ሠ
'su	ሡ
'si	ሢ
'sa	ሣ
'se	ሤ
'sə	ሥ
'sE	ሥ
'so	ሦ
'swa	ሧ

rä	ረ
ru	ሩ
ri	ሪ
ra	ራ
re	ሬ
rə	ር
rE	ር
ro	ሮ
rwa	ሯ
ryä	ፘ

sä	ሰ
su	ሱ
si	ሲ
sa	ሳ
se	ሴ
sə	ስ
sE	ስ
so	ሶ
swa	ሷ

qä	ቀ
qu	ቁ
qi	ቂ
qa	ቃ
qe	ቄ
qə	ቅ
qE	ቅ
qo	ቆ
qwä	ቈ
qwi	ቊ
qwa	ቋ
qwe	ቌ
qwə	ቍ
qwE	ቍ

bä	በ
bu	ቡ
bi	ቢ
ba	ባ
be	ቤ
bə	ብ
bE	ብ
bo	ቦ
bwa	ቧ

tä	ተ
tu	ቱ
ti	ቲ
ta	ታ
te	ቴ
tə	ት
tE	ት
to	ቶ
twa	ቷ

ḫä	ኀ
ḫu	ኁ
ḫi	ኂ
ḫa	ኃ
ḫe	ኄ
ḫə	ኅ
ḫE	ኅ
ḫo	ኆ
ḫwä	ኈ
ḫwi	ኊ
ḫwa	ኋ
ḫwe	ኌ
ḫwə	ኍ
ḫwE	ኍ

khä	ኀ
khu	ኁ
khi	ኂ
kha	ኃ
khe	ኄ
khə	ኅ
khE	ኅ
kho	ኆ
khwä	ኈ
khwi	ኊ
khwa	ኋ
khwe	ኌ
khwə	ኍ
khwE	ኍ

hä	ሀ
hu	ሁ
hi	ሂ
ha	ሃ
he	ሄ
hə	ህ
hE	ህ
ho	ሆ

nä	ነ
nu	ኑ
ni	ኒ
na	ና
ne	ኔ
nə	ን
nE	ን
no	ኖ
nwa	ኗ

ʾä	አ
ʾu	ኡ
ʾi	ኢ
ʾa	ኣ
ʾe	ኤ
ʾə	እ
ʾE	እ
ʾo	ኦ
ʾwa	ኧ

'ä	አ
'u	ኡ
'i	ኢ
'a	ኣ
'e	ኤ
'ə	እ
'E	እ
'o	ኦ
'wa	ኧ

kä	ከ
ku	ኩ
ki	ኪ
ka	ካ
ke	ኬ
kə	ክ
kE	ክ
ko	ኮ
kwä	ኰ
kwi	ኲ
kwa	ኳ
kwe	ኴ
kwə	ኵ
kwE	ኵ

ʿä	ዐ
ʿu	ዑ
ʿi	ዒ
ʿa	ዓ
