ラテン文字	グラゴル文字
Štъ	Ⱋⱏ
štъ	ⱋⱏ
Čъ	Ⱍⱏ
čъ	ⱍⱏ
Šъ	Ⱎⱏ
šъ	ⱎⱏ
Žъ	Ⰶⱏ
žъ	ⰶⱏ
Dzъ	Ⰷⱏ
dzъ	ⰷⱏ
Ǵъ	Ⰼⱏ
ǵъ	ⰼⱏ
Thъ	Ⱚⱏ
thъ	ⱚⱏ
Ěъ	Ⱑⱏ
ěъ	ⱑⱏ
Jęъ	Ⱗⱏ
jęъ	ⱗⱏ
Ęъ	Ⱔⱏ
ęъ	ⱔⱏ
Jǫъ	Ⱙⱏ
jǫъ	ⱙⱏ
Ǫъ	Ⱘⱏ
ǫъ	ⱘⱏ
Ôъ	Ⱉⱏ
ôъ	ⱉⱏ
Üъ	Ⱛⱏ
üъ	ⱛⱏ
Ɩъ	Ⰺⱏ
ɩъ	ⰺⱏ
Jjъ	Ⰺⱏ
jjъ	ⰺⱏ
Juъ	Ⱓⱏ
juъ	ⱓⱏ
Aъ	Ⰰⱏ
aъ	ⰰⱏ
Eъ	Ⰵⱏ
eъ	ⰵⱏ
Iъ	Ⰻⱏ
iъ	ⰻⱏ
Iъ	Ⰹⱏ
ıъ	ⰹⱏ
Jъ	Ⰹⱏ
jъ	ⰹⱏ
Oъ	Ⱁⱏ
oъ	ⱁⱏ
Uъ	Ⱆⱏ
uъ	ⱆⱏ
Yъ	ⰟⰉⱏ
yъ	ⱏⰹⱏ
Sъ	Ⱄⱏ
sъ	ⱄⱏ
Zъ	Ⰸⱏ
zъ	ⰸⱏ
Cъ	Ⱌⱏ
cъ	ⱌⱏ
Pъ	Ⱂⱏ
pъ	ⱂⱏ
Bъ	Ⰱⱏ
bъ	ⰱⱏ
Vъ	Ⰲⱏ
vъ	ⰲⱏ
Tъ	Ⱅⱏ
tъ	ⱅⱏ
Dъ	Ⰴⱏ
dъ	ⰴⱏ
Kъ	Ⰽⱏ
kъ	ⰽⱏ
Gъ	Ⰳⱏ
gъ	ⰳⱏ
Xъ	Ⱈⱏ
xъ	ⱈⱏ
Lъ	Ⰾⱏ
lъ	ⰾⱏ
Rъ	Ⱃⱏ
rъ	ⱃⱏ
Mъ	Ⰿⱏ
mъ	ⰿⱏ
Nъ	Ⱀⱏ
nъ	ⱀⱏ
Fъ	Ⱇⱏ
fъ	ⱇⱏ
⏜ъ	҄ⱏ
^ъ	҄ⱏ
˜ъ	҃ⱏ
~ъ	҃ⱏ
¯ъ	꙯ⱏ
/ъ	꙯ⱏ
Št	Ⱋⱏ
št	ⱋⱏ
Sht	Ⱋⱏ
sht	ⱋⱏ
Č	Ⱍⱏ
č	ⱍⱏ
Ch	Ⱍⱏ
ch	ⱍⱏ
Š	Ⱎⱏ
š	ⱎⱏ
Sh	Ⱎⱏ
sh	ⱎⱏ
Ž	Ⰶⱏ
ž	ⰶⱏ
Zh	Ⰶⱏ
zh	ⰶⱏ
Dz	Ⰷⱏ
dz	ⰷⱏ
Ǵ	Ⰼⱏ
ǵ	ⰼⱏ
Gh	Ⰼⱏ
gh	ⰼⱏ
Th	Ⱚⱏ
th	ⱚⱏ
Ɩ	Ⰺⱏ
ɩ	ⰺⱏ
Jj	Ⰺⱏ
jj	ⰺⱏ
Ě	Ⱑⱏ
ě	ⱑⱏ
Eh	Ⱑⱏ
eh	ⱑⱏ
Ję	Ⱗⱏ
ję	ⱗⱏ
Jenn	Ⱗⱏ
jenn	ⱗⱏ
Ę	Ⱔⱏ
ę	ⱔⱏ
Enn	Ⱔⱏ
enn	ⱔⱏ
Jǫ	Ⱙⱏ
jǫ	ⱙⱏ
Jonn	Ⱙⱏ
jonn	ⱙⱏ
Ǫ	Ⱘⱏ
ǫ	ⱘⱏ
Onn	Ⱘⱏ
onn	ⱘⱏ
Ôt	Ⱉⱅⱏ
ôt	ⱉⱅⱏ
Ô	Ⱉⱏ
ô	ⱉⱏ
Oh	Ⱉⱏ
oh	ⱉⱏ
Ü	Ⱛⱏ
ü	ⱛⱏ
Uh	Ⱛⱏ
uh	ⱛⱏ
Ju	Ⱓⱏ
ju	ⱓⱏ
A	Ⰰⱏ
a	ⰰⱏ
E	Ⰵⱏ
e	ⰵⱏ
I	Ⰻⱏ
i	ⰻⱏ
Î	Ⰹⱏ
î	ⰹⱏ
J	Ⰹⱏ
j	ⰹⱏ
O	Ⱁⱏ
o	ⱁⱏ
U	Ⱆⱏ
u	ⱆⱏ
Y	ⰟⰉⱏ
y	ⱏⰹⱏ
S	Ⱄⱏ
s	ⱄⱏ
Z	Ⰸⱏ
z	ⰸⱏ
C	Ⱌⱏ
c	ⱌⱏ
P	Ⱂⱏ
p	ⱂⱏ
B	Ⰱⱏ
b	ⰱⱏ
V	Ⰲⱏ
v	ⰲⱏ
T	Ⱅⱏ
t	ⱅⱏ
D	Ⰴⱏ
d	ⰴⱏ
K	Ⰽⱏ
k	ⰽⱏ
G	Ⰳⱏ
g	ⰳⱏ
X	Ⱈⱏ
x	ⱈⱏ
H	Ⱈⱏ
h	ⱈⱏ
L	Ⰾⱏ
l	ⰾⱏ
