ラテン文字	ハングル
%%%%%	# ラテン文字,符号
%%%%%	## 母音
yae	<@<<ￅ<<+<
yae	<ￅ<
yeo	<@<<ￊ<<+<
yeo	<ￊ<
wae	<@<<ￎ<<+<
wae	<ￎ<
ya	<@<<ￄ<<+<
ya	<ￄ<
ye	<@<<ￋ<<+<
ye	<ￋ<
yo	<@<<ￒ<<+<
yo	<ￒ<
yu	<@<<ￗ<<+<
yu	<ￗ<
wa	<@<<ￍ<<+<
wa	<ￍ<
wo	<@<<ￔ<<+<
wo	<ￔ<
we	<@<<ￕ<<+<
we	<ￕ<
wi	<@<<ￖ<<+<
wi	<ￖ<
oe	<@<<ￏ<<+<
oe	<ￏ<
ae	<@<<ￃ<<+<
ae	<ￃ<
eo	<@<<ￆ<<+<
eo	<ￆ<
eu	<@<<ￚ<<+<
w	<@<<ￚ<<+<
eu	<ￚ<
ui	<@<<ￛ<<+<
ui	<ￛ<
a	<@<<ￂ<<+<
a	<ￂ<
e	<@<<ￇ<<+<
e	<ￇ<
o	<@<<ￌ<<+<
o	<ￌ<
u	<@<<ￓ<<+<
u	<ￓ<
i	<@<<ￜ<<+<
y	<@<<ￜ<<+<
i	<ￜ<
%%%%%	## 子音
gs	<[<<ﾣ<<]<
gs	<ﾣ<
nj	<[<<ﾥ<<]<
nj	<ﾥ<
nh	<[<<ﾦ<<]<
nh	<ﾦ<
bs	<[<<ﾴ<<]<
bs	<ﾴ<
lg	<[<<ﾪ<<]<
lg	<ﾪ<
lm	<[<<ﾫ<<]<
lm	<ﾫ<
lb	<[<<ﾬ<<]<
lb	<ﾬ<
ls	<[<<ﾭ<<]<
ls	<ﾭ<
lt	<[<<ﾮ<<]<
lt	<ﾮ<
lp	<[<<ﾯ<<]<
lp	<ﾯ<
lh	<[<<ﾰ<<]<
lh	<ﾰ<
-	<[<<ﾷ<<]<
x	<[<<ﾷ<<]<
ng	<]<<ﾷ<
-	<ﾷ<
kk	<[<<ﾢ<<]<
kk	<ﾢ<
tt	<[<<ﾨ<<]<
tt	<ﾨ<
pp	<[<<ﾳ<<]<
pp	<ﾳ<
jj	<[<<ﾹ<<]<
jj	<ﾹ<
g	<[<<ﾡ<<]<
g	<ﾡ<
d	<[<<ﾧ<<]<
d	<ﾧ<
b	<[<<ﾲ<<]<
b	<ﾲ<
j	<[<<ﾸ<<]<
j	<ﾸ<
k	<[<<ﾻ<<]<
k	<ﾻ<
t	<[<<ﾼ<<]<
t	<ﾼ<
p	<[<<ﾽ<<]<
p	<ﾽ<
ch	<[<<ﾺ<<]<
c	<[<<ﾺ<<]<
ch	<ﾺ<
n	<[<<ﾤ<<]<
n	<ﾤ<
l	<[<<ﾩ<<]<
l	<ﾩ<
r	*l
m	<[<<ﾱ<<]<
m	<ﾱ<
ss	<[<<ﾶ<<]<
ss	<ﾶ<
s	<[<<ﾵ<<]<
s	<ﾵ<
h	<[<<ﾾ<<]<	
h	<ﾾ<
%%%%%	# 符号,符号
%%%%%	## いろいろ
