ASCII,ラテン文字

%%%%%,# 非ASCIIラテン文字

A=E,Æ
a=e,æ
I=J,Ĳ
i=j,ĳ
O=E,Œ
o=e,œ
O/,Ø
o/,ø
S=Z,ẞ
s=z,ß
s/,ſ

%%%%%,# ダイアクリティカルマーク単体

^',́
^u,̆
_u,̮
^v,̌
_z,̧
^^,̂
_',̦
^",̈
^.,̇
_.,̣
^`,̀
^+,̛
^?,̑
^-,̄
_-,̱
_c,̨
^o,̊
^~,̃

%%%%%,# 合字

Á,Á
á,á
Ǽ,Ǽ
ǽ,ǽ
Ć,Ć
ć,ć
É,É
é,é
Ǵ,Ǵ
ǵ,ǵ
Í,Í
í,í
Ḱ,Ḱ
ḱ,ḱ
Ĺ,Ĺ
ĺ,ĺ
Ḿ,Ḿ
ḿ,ḿ
Ń,Ń
ń,ń
Ó,Ó
ó,ó
Ǿ,Ǿ
ǿ,ǿ
Ṕ,Ṕ
ṕ,ṕ
Ŕ,Ŕ
ŕ,ŕ
Ś,Ś
ś,ś
Ú,Ú
ú,ú
Ẃ,Ẃ
ẃ,ẃ
Ý,Ý
ý,ý
Ź,Ź
ź,ź

Á̆,Ắ
Ắ,Ắ
á̆,ắ
ắ,ắ

Ặ,Ặ
Ặ,Ặ
ặ,ặ
ặ,ặ

À̆,Ằ
Ằ,Ằ
à̆,ằ
ằ,ằ

Ã̆,Ẵ
Ẵ,Ẵ
ã̆,ẵ
ẵ,ẵ

Ă,Ă
ă,ă
Ĕ,Ĕ
ĕ,ĕ
Ğ,Ğ
ğ,ğ
Ĭ,Ĭ
ĭ,ĭ
Ŏ,Ŏ
ŏ,ŏ
Ŭ,Ŭ
ŭ,ŭ

Ḫ,Ḫ
ḫ,ḫ

Ǎ,Ǎ
ǎ,ǎ
Č,Č
č,č
Ď,Ď
ď,ď
Ě,Ě
ě,ě
Ǧ,Ǧ
ǧ,ǧ
Ȟ,Ȟ
ȟ,ȟ
Ǐ,Ǐ
ǐ,ǐ
ǰ,ǰ
Ǩ,Ǩ
ǩ,ǩ
Ľ,Ľ
ľ,ľ
Ň,Ň
ň,ň
Ǒ,Ǒ
ǒ,ǒ
Ř,Ř
ř,ř
Š,Š
š,š
Ť,Ť
ť,ť
Ǔ,Ǔ
ǔ,ǔ
Ž,Ž
ž,ž
Ǯ,Ǯ
ǯ,ǯ

Ṧ,Ṧ
Ṡ̌,Ṧ
ṧ,ṧ
ṡ̌,ṧ

Ç,Ç
ç,ç
Ḑ,Ḑ
ḑ,ḑ
Ȩ,Ȩ
ȩ,ȩ
Ģ,Ģ
ģ,ģ
Ḩ,Ḩ
ḩ,ḩ
Ķ,Ķ
ķ,ķ
Ļ,Ļ
ļ,ļ
Ņ,Ņ
ņ,ņ
Ŗ,Ŗ
ŗ,ŗ
Ş,Ş
ş,ş
Ţ,Ţ
ţ,ţ

Ḉ,Ḉ
ḉ,ḉ
Ḉ,Ḉ
ḉ,ḉ

Ḝ,Ḝ
Ḝ,Ḝ
ḝ,ḝ
ḝ,ḝ

Â,Â
â,â
Ĉ,Ĉ
ĉ,ĉ
Ê,Ê
ê,ê
Ĝ,Ĝ
ĝ,ĝ
Ĥ,Ĥ
ĥ,ĥ
Î,Î
î,î
Ĵ,Ĵ
ĵ,ĵ
Ô,Ô
ô,ô
Ŝ,Ŝ
ŝ,ŝ
Û,Û
û,û
Ŵ,Ŵ
ŵ,ŵ
Ŷ,Ŷ
ŷ,ŷ
Ẑ,Ẑ
ẑ,ẑ

Ấ,Ấ
Á̂,Ấ
ấ,ấ
á̂,ấ
Ế,Ế
É̂,Ế
ế,ế
é̂,ế
Ố,Ố
Ó̂,Ố
ố,ố
ó̂,ố

Ậ,Ậ
Ậ,Ậ
ậ,ậ
ậ,ậ
Ệ,Ệ
Ệ,Ệ
ệ,ệ
ệ,ệ
Ộ,Ộ
Ộ,Ộ
ộ,ộ
ộ,ộ

Ầ,Ầ
À̂,Ầ
ầ,ầ
à̂,ầ
Ề,Ề
È̂,Ề
ề,ề
è̂,ề
Ồ,Ồ
Ò̂,Ồ
ồ,ồ
ò̂,ồ

Ẫ,Ẫ
Ã̂,Ẫ
ẫ,ẫ
ã̂,ẫ
Ễ,Ễ
Ẽ̂,Ễ
ễ,ễ
ẽ̂,ễ
Ỗ,Ỗ
Õ̂,Ỗ
ỗ,ỗ
õ̂,ỗ

Ș,Ș
ș,ș
Ț,Ț
ț,ț

Ä,Ä
ä,ä
Ë,Ë
ë,ë
Ḧ,Ḧ
ḧ,ḧ
Ï,Ï
ï,ï
Ö,Ö
ö,ö
ẗ,ẗ
Ü,Ü
ü,ü
Ẅ,Ẅ
ẅ,ẅ
Ẍ,Ẍ
ẍ,ẍ
Ÿ,Ÿ
ÿ,ÿ

Ḯ,Ḯ
Í̈,Ḯ
ḯ,ḯ
í̈,ḯ
Ǘ,Ǘ
Ú̈,Ǘ
ǘ,ǘ
ú̈,ǘ

Ǚ,Ǚ
Ǔ̈,Ǚ
ǚ,ǚ
ǔ̈,ǚ

Ǜ,Ǜ
Ù̈,Ǜ
ǜ,Ǜ
ù̈,Ǜ

Ǟ,Ǟ
Ā̈,Ǟ
ǟ,ǟ
ā̈,ǟ
Ȫ,Ȫ
Ō̈,Ȫ
ȫ,ȫ
ō̈,ȫ
Ǖ,Ǖ
Ṻ,Ǖ
ǖ,ǖ
ṻ,ǖ

