ラテン文字	デーヴァナーガリー
%%%%%	# ラテン文字\符号
%%%%%	## 母音字
ai	<｣<<ｱｲ<
au	<｣<<ｱｳ<
ā	<｣<<ｱｱ<
aa	<｣<<ｱｱ<
A	<｣<<ｱｱ<
ī	<｣<<ｲｲ<
ii	<｣<<ｲｲ<
I	<｣<<ｲｲ<
i	<｣<<ｲ<
ū	<｣<<ｳｳ<
uu	<｣<<ｳｳ<
U	<｣<<ｳｳ<
u	<｣<<ｳ<
e	<｣<<ｴ<
o	<｣<<ｵ<
ṝ	<｣<<ﾙ<<ﾙ<
.rr	<｣<<ﾙ<<ﾙ<
RR	<｣<<ﾙ<<ﾙ<
ṛ	<｣<<ﾙ<
.r	<｣<<ﾙ<
R	<｣<<ﾙ<
ḹ	<｣<<ｩ<<ｩ<
.ll	<｣<<ｩ<<ｩ<
LL	<｣<<ｩ<<ｩ<
lRR	<｣<<ｩ<<ｩ<
ḷ	<｣<<ｩ<
.l	<｣<<ｩ<
L	<｣<<ｩ<
lR	<｣<<ｩ<
a	<｢<<･<<｣<
a	<｣<
%%%%%	## 記号
̃	<ﾑﾑ<
.N	<ﾑﾑ<
MM	<ﾑﾑ<
ṃ	<ﾑ<
.m	<ﾑ<
M	<ﾑ<
ḥ	<ﾌ<
.h	<ﾌ<
H	<ﾌ<
'	<ﾟ<
%%%%%	## 子音字
ṇ	<ﾝﾅ<<･<
.n	<ﾝﾅ<<･<
N	<ﾝﾅ<<･<
ñ	<ﾆｬ<<･<
~n	<ﾆｬ<<･<
J	<ﾆｬ<<･<
ṅ	<ﾝｶﾞ<<･<
"n	<ﾝｶﾞ<<･<
G	<ﾝｶﾞ<<･<
~N	<ﾝｶﾞ<<･<
n	<ﾅ<<･<
m	<ﾏ<<･<
ṣ	<ｼｬ<<･<
.s	<ｼｬ<<･<
S	<ｼｬ<<･<
ś	<ｼｼｬ<<･<
"s	<ｼｼｬ<<･<
z	<ｼｼｬ<<･<
s	<ｻ<<･<
ṭ	<ﾄﾀ<<･<
.t	<ﾄﾀ<<･<
T	<ﾄﾀ<<･<
t	<ﾀ<<･<
ḍ	<ﾄﾀﾞ<<･<
.d	<ﾄﾀﾞ<<･<
D	<ﾄﾀﾞ<<･<
d	<ﾀﾞ<<･<
k	<ｶ<<･<
g	<ｶﾞ<<･<
c	<ﾁｬ<<･<
j	<ﾁﾞｬ<<･<
p	<ﾊﾟ<<･<
b	<ﾊﾞ<<･<
y	<ﾔ<<･<
r	<ﾗ<<･<
l	<ｧ<<･<
v	<ﾜ<<･<
h	<ﾊ<<･<
%%%%%	# 符号\符号
|ｶ||･||ﾊ|	|ｶ||ﾊ|
|ｶﾞ||･||ﾊ|	|ｶﾞ||ﾊ|
|ﾁｬ||･||ﾊ|	|ﾁｬ||ﾊ|
|ﾁﾞｬ||･||ﾊ|	|ﾁﾞｬ||ﾊ|
|ﾄﾀ||･||ﾊ|	|ﾄﾀ||ﾊ|
|ﾄﾀﾞ||･||ﾊ|	|ﾄﾀﾞ||ﾊ|
|ﾀ||･||ﾊ|	|ﾀ||ﾊ|
|ﾀﾞ||･||ﾊ|	|ﾀﾞ||ﾊ|
|ﾊﾟ||･||ﾊ|	|ﾊﾟ||ﾊ|
|ﾊﾞ||･||ﾊ|	|ﾊﾞ||ﾊ|
	|｣||･ ･|
|･||｣|	|ｱ|
|･||｢|	
|･|	|ｱ||･ ･|
%%%%%	# 符号\デーヴァナーガリー
%%%%%	## 独立母音字
>｣>>ｱｲ>	ऐ
>｣>>ｱｳ>	औ
>｣>>ｱｱ>	आ
>｢>>ｱ>	अ
>｣>>ｲｲ>	ई
>｣>>ｲ>	इ
>｣>>ｳｳ>	ऊ
>｣>>ｳ>	उ
>｣>>ﾙ>>ﾙ>	ॠ
>｣>>ﾙ>	ऋ
>｣>>ｩ>	ऌ
>｣>>ｩ>>ｩ>	ॡ
>｣>>ｴ>	ए
>｣>>ｵ>	ओ
%%%%%	## 母音記号
>ｱｲ>	ै
>ｱｳ>	ौ
>ｱｱ>	ा
>ｲｲ>	ी
>ｲ>	ि
>ｳｳ>	ू
>ｳ>	ु
>ｴ>	े
>ｵ>	ो
>ﾙ>>ﾙ>	ॄ
>ﾙ>	ृ
>ｩ>>ｩ>	ॣ
>ｩ>	ॢ
%%%%%	## 子音字
>ｶ>>ｱ>	क
>ｶ>>ﾊ>>ｱ>	ख
>ｶﾞ>>ｱ>	ग
>ｶﾞ>>ﾊ>>ｱ>	घ
>ﾝｶﾞ>>ｱ>	ङ
>ﾁｬ>>ｱ>	च
>ﾁｬ>>ﾊ>>ｱ>	छ
>ﾁﾞｬ>>ｱ>	ज
>ﾁﾞｬ>>ﾊ>>ｱ>	झ
>ﾆｬ>>ｱ>	ञ
>ﾄﾀ>>ｱ>	ट
>ﾄﾀ>>ﾊ>>ｱ>	ठ
>ﾄﾀﾞ>>ｱ>	ड
>ﾄﾀﾞ>>ﾊ>>ｱ>	ढ
>ﾝﾅ>>ｱ>	ण
>ﾀ>>ｱ>	त
>ﾀ>>ﾊ>>ｱ>	थ
>ﾀﾞ>>ｱ>	द
>ﾀﾞ>>ﾊ>>ｱ>	ध
>ﾅ>>ｱ>	न
>ﾊﾟ>>ｱ>	प
>ﾊﾟ>>ﾊ>>ｱ>	फ
>ﾊﾞ>>ｱ>	ब
>ﾊﾞ>>ﾊ>>ｱ>	भ
>ﾏ>>ｱ>	म
>ﾔ>>ｱ>	य
>ﾗ>>ｱ>	र
>ｧ>>ｱ>	ल
>ﾜ>>ｱ>	व
>ｼｼｬ>>ｱ>	श
>ｼｬ>>ｱ>	ष
>ｻ>>ｱ>	स
>ﾊ>>ｱ>	ह
%%%%%	## その他記号
>ﾑﾑ>	ँ
>ﾑ>	ं
>ﾌ>	ः
>･ ･>	्
>ﾟ>	ऽ
%%%%%	#処理開始\終了フラグ
<	|
|	>
1	१
2	२
3	३
4	४
5	५
6	६
7	७
8	८
9	९
0	०
..	॥
.	।
