ラテン文字	キリル文字
#ʃtʃ	Щ
#s__	Щ
ʃtʃ	щ
s__	щ
#ʃ	Ш
#s_	Ш
ʃ	ш
s_	ш
#ɲa	Ня
ɲa	ня
#ɲu	Ню
ɲu	ню
#ɲo	Нё
ɲo	нё
#ɲ	Нь
Ja	Я
ja	я
Ju	Ю
ju	ю
Jo	Ё
jo	ё
ɲ	нь
nj	нь
W	Ў
w	ў
J	Й
j	й
A	А
a	а
È	Э
E_	Э
è	э
e_	э
E	Е
e	е
I	И
i	и
O	О
o	о
U	У
u	у
Ə	Ы
Y	Ы
ə	ы
y	ы
Ts	Ц
ts	ц
P	П
p	п
T	Т
t	т
K	К
k	к
C	Ч
c	ч
Q	Ӄ
q	ӄ
#r’	Р̌
#r'	Р̌
r’	р̌
r'	р̌
#r	Р
r	р
'	*’
ʰ	*’
*	
B	Б
b	б
D	Д
d	д
#ŋ	Ӈ
#ng	Ӈ
#N	Ӈ
ŋ	ӈ
ng	ӈ
N	ӈ
#n	Н
n	н
#ɢ	Ӷ
#G	Ӷ
ɢ	ӷ
G	ӷ
#ɣ	Ғ
#@	Ғ
#gh	Ғ
ɣ	ғ
@	ғ
gh	ғ
#g	Г
g	г
#ʁ	Ӻ
#R	Ӻ
ʁ	ӻ
R	ӻ
F	Ф
f	ф
V	В
v	в
S	С
s	с
Ʒ	Ж
Z_	Ж
ʒ	ж
z_	ж
Z	З
z	з
#χ	Ӽ
#X	Ӽ
χ	ӽ
X	ӽ
H	Ӿ
h	ӿ
#x	Х
x	х
M	М
m	м
L	Л
l	л
ʺ	ъ
//	ъ
ʹ	ь
/	ь
