ka  か
ki  き₁
kwi き₂
ku  く
kye	け₁
ke	け₂
kwo	こ₁
ko  こ₂

ga  が
gi	ぎ₁
gwi	ぎ₂
gu  ぐ
gye	げ₁
ge	げ₂
gwo	ご₁
go	ご₂

sa  さ
si  し
su  す
su  せ
swo	そ₁
so	そ₂

za  ざ
zi  じ
zu  ず
ze  ぜ
zwo	ぞ₁
zo	ぞ₂

ta  た
ti  ち
tu  つ
te  て
two	と₁
to	と₂

da  だ
di  ぢ
du  づ
de  で
dwo	ど₁
do  ど₂


na  な
ni  に
nu  ぬ
ne  ね
nwo	の₁
no	の₂

pa  ぱ
pi	ぴ₁
pwi	ぴ₂
pu  ぷ
pye	ぺ₁
pe	ぺ₂
po  ぽ

ba  ば
bi	び₁
bwi	び₂
bu  ぶ
bye	べ₁
be	べ₂
bo  ぼ

ma  ま
mi	み₁
mwi	み₂
mu  む
mye め₁
me	め₂
mwo	も₁
mo	も₂

ya  や
yu  ゆ
ywo	よ₁
yo	よ₂

ra  ら
ri  り
ru  る
re  れ
rwo	ろ₁
ro	ろ₂


a   あ
i   い
u   う
e   え
o   お
