ラテン文字	キリル文字
%%%%%	# 母音字
%%%%%	## <ё>
Ë	Ё
ë	ё
Yo	Ё
yo	ё
%%%%%	## ラテン文字,符号
%%%%%	### 第2アクセント
À	<ｱ<<｣<<｣<
à	<ｧ<<｣<<｣<
Ě̀	<ｴｧ<<｣<<｣<
ě̀	<ｪｧ<<｣<<｣<
È̀	<ｴ<<｣<<｣<
è̀	<ｪ<<｣<<｣<
È	<ｲｪ<<｣<<｣<
è	<ｨｪ<<｣<<｣<
Í̀	<ｲｰｰ<<｣<<｣<
í̀	<ｨｰｰ<<｣<<｣<
Ì̀	<ｲｰ<<｣<<｣<
ì̀	<ｨｰ<<｣<<｣<
Ì	<ｲ<<｣<<｣<
ì	<ｨ<<｣<<｣<
Ỳ	<ｳｨ<<｣<<｣<
ỳ	<ｩｨ<<｣<<｣<
Ò	<ｵ<<｣<<｣<
ò	<ｫ<<｣<<｣<
Ù	<ｳ<<｣<<｣<
ù	<ｩ<<｣<<｣<
%%%%%	### 第1アクセント
Á	<ｱ<<｣<
á	<ｧ<<｣<
Ě́	<ｴｧ<<｣<
ě́	<ｪｧ<<｣<
È́	<ｴ<<｣<
è́	<ｪ<<｣<
É	<ｲｪ<<｣
é	<ｨｪ<<｣
Í́	<ｲｰ<<｣<
í́	<ｨｰ<<｣<
Ì́	<ｲｰｰ<<｣<
ì́	<ｨｰｰ<<｣<
Í	<ｲ<<｣<
í	<ｨ<<｣<
Ý	<ｳｨ<<｣<
ý	<ｩｨ<<｣<
Ó	<ｵ<<｣<
ó	<ｫ<<｣<
Ú	<ｳ<<｣<
ú	<ｩ<<｣<
%%%%%	### 無アクセント
A	<ｱ<
a	<ｧ<
Ě	<ｴｧ<
ě	<ｪｧ<
E_	<ｴｧ<
e_	<ｪｧ<
È	<ｴ<
è	<ｪ<
Eh	<ｴ<
eh	<ｪ<
E	<ｲｪ<
e	<ｨｪ<
Í	<ｲｰｰ<
í	<ｨｰｰ<
I__	<ｲｰｰ<
i__	<ｨｰｰ<
Ì	<ｲｰ<
ì	<ｨｰ<
I_	<ｲｰ<
i_	<ｨｰ<
I	<ｲ<
i	<ｨ<
Y	<ｳｨ<
y	<ｩｨ<
O	<ｵ<
o	<ｫ<
U	<ｳ<
u	<ｩ<
J	<ﾔ<
j	<ｬ<
/	<｣<
%%%%%	## 符号,符号
||||||	
%%%%%	## 符号,キリル文字
%%%%%	### 第2アクセント
>ﾔ>>ｧ>>｣>>｣>	Я̀
>ｬ>>ｧ>>｣>>｣>	я̀
>ｱ>>｣>>｣>	А̀
>ｧ>>｣>>｣>	а̀
>ｴｧ>>｣>>｣>	Ѣ̀
>ｪｧ>>｣>>｣>	ѣ̀
>ｴ>>｣>>｣>	Э̀
>ｪ>>｣>>｣>	э̀
>ｲｪ>>｣>>｣>	Ѐ
>ｨｪ>>｣>>｣>	ѐ
>ｲｰｰ>>｣>>｣>	Ѵ̀
