ラテン文字	キリル文字
%%%%%	# 記号類
/	<｣<
q	<｣<
|｣||｣||｣||｣||｣|	
Č	Ч
č	ч
Ch	Ч
ch	ч
C>｣>>｣>	Ч
c>｣>>｣>	ч
Ć	Ћ
ć	ћ
C>｣>	Ћ
c>｣>	ћ
Dž	Џ
dž	џ
Dz>｣>	Џ
dz>｣>	џ
Đ	Ђ
đ	ђ
D>｣>	Ђ
d>｣>	ђ
Š	Ш
š	ш
S>｣>	Ш
s>｣>	ш
T>｣>	Ћ
t>｣>	ћ
Ž	Ж
ž	ж
Z>｣>	Ж
z>｣>	ж
>｣>>｣>>｣>>｣>	*̏
>｣>>｣>>｣>	*̑
>｣>>｣>	*̀
>｣>	*́
<	|
|	>
*	
%%%%%	# 母音字
A	А
a	а
E	Е
e	е
I	И
i	и
O	О
o	о
U	У
u	у
%%%%%	# 子音字
B	Б
b	б
C	Ц
c	ц
D	Д
d	д
F	Ф
f	ф
G	Г
g	г
K	К
k	к
Lj	Љ
lj	љ
L	Л
l	л
M	М
m	м
Nj	Њ
nj	њ
N	Н
n	н
P	П
p	п
R	Р
r	р
S	С
s	с
T	Т
t	т
V	В
v	в
Z	З
z	з
H	Х
h	х
X	Х
x	х
J	Ј
j	ј
Y	Ј
y	ј
