ラテン文字	キリル文字
%%%%%	# 母音字
ʹ	ь
jj	ь
%%%%%	## ラテン文字,符号
%%%%%	### 第2アクセント
À	<ｱ<<｣<<｣<
à	<ｧ<<｣<<｣<
È	<ｴ<<｣<<｣<
è	<ｪ<<｣<<｣<
Ì	<ｲ<<｣<<｣<
ì	<ｨ<<｣<<｣<
Ỳ	<ｳｨ<<｣<<｣<
ỳ	<ｩｨ<<｣<<｣<
Ò	<ｵ<<｣<<｣<
ò	<ｫ<<｣<<｣<
Ù	<ｳ<<｣<<｣<
ù	<ｩ<<｣<<｣<
%%%%%	### 第1アクセント
Á	<ｱ<<｣<
á	<ｧ<<｣<
É	<ｴ<<｣
é	<ｪ<<｣
Í	<ｲ<<｣<
í	<ｨ<<｣<
Ý	<ｳｨ<<｣<
ý	<ｩｨ<<｣<
Ó	<ｵ<<｣<
ó	<ｫ<<｣<
Ú	<ｳ<<｣<
ú	<ｩ<<｣<
%%%%%	### 無アクセント
A	<ｱ<
a	<ｧ<
E	<ｴ<
e	<ｪ<
I	<ｲ<
i	<ｨ<
Y	<ｳｨ<
y	<ｩｨ<
O	<ｵ<
o	<ｫ<
U	<ｳ<
u	<ｩ<
J	<ﾔ<
j	<ｬ<
/	<｣<
%%%%%	## 符号,符号
|/||/||/|	
%%%%%	## 符号,キリル文字
%%%%%	### 第2アクセント
>ﾔ>>ｧ>>｣>>｣>	Я̀
>ｬ>>ｧ>>｣>>｣>	я̀
>ｱ>>｣>>｣>	А̀
>ｧ>>｣>>｣>	а̀
>ﾔ>>ｪ>>｣>>｣>	Є̀
>ｬ>>ｪ>>｣>>｣>	є̀
>ｴ>>｣>>｣>	Ѐ
>ｪ>>｣>>｣>	ѐ
>ﾔ>>ｨ>>｣>>｣>	Ї̀
>ｬ>>ｨ>>｣>>｣>	ї̀
>ｲ>>｣>>｣>	І̀
>ｨ>>｣>>｣>	і̀
>ｳｨ>>｣>>｣>	Ѝ
>ｩｨ>>｣>>｣>	ѝ
>ｵ>>｣>>｣>	О̀
>ｫ>>｣>>｣>	о̀
>ﾔ>>ｩ>>｣>>｣>	Ю̀
>ｬ>>ｩ>>｣>>｣>	ю̀
>ｳ>>｣>>｣>	У̀
>ｩ>>｣>>｣>	у̀
%%%%%	### 第1アクセント
>ﾔ>>ｧ>>｣>	Я́
>ｬ>>ｧ>>｣>	я́
>ｱ>>｣>	А́
>ｧ>>｣>	а́
>ﾔ>>ｪ>>｣>	Є́
>ｬ>>ｨｪ>>｣>	є́
>ｴ>>｣>	Е́
>ｪ>>｣>	е́
>ﾔ>>ｨ>>｣>	Ї́
>ｬ>>ｨ>>｣>	ї́
>ｲ>>｣>	І́
>ｨ>>｣>	і́
>ｳｨ>>｣>	И́
>ｩｨ>>｣>	и́
>ｵ>>｣>	О́
>ｫ>>｣>	о́
>ﾔ>>ｩ>>｣>	Ю́
>ｬ>>ｩ>>｣>	ю́
>ｳ>>｣>	У́
>ｩ>>｣>	у́
%%%%%	### 無アクセント
>ﾔ>>ｧ>	Я
>ｬ>>ｧ>	я
>ｱ>	А
>ｧ>	а
>ﾔ>>ｪ>	Є
>ｬ>>ｪ>	є
>ｴ>	Е
>ｪ>	е
>ﾔ>>ｨ>	Ї
>ｬ>>ｨ>	ї
>ｲ>	І
>ｨ>	і
>ｳｨ>	И
>ｩｨ>	и
>ｵ>	О
>ｫ>	о
>ﾔ>>ｩ>	Ю
>ｬ>>ｩ>	ю
>ｳ>	У
>ｩ>	у
>ﾔ>	Й
>ｬ>	й
>｣>	
%%%%%	## 処理開始,終了フラグ
<	|
|	>
Šč	Щ
šč	щ
Shch	Щ
shch	щ	
Č	Ч
č	ч
Ch	Ч
ch	ч
Š	Ш
š	ш
Sh	Ш
sh	ш
Ž	Ж
ž	ж
Zh	Ж
zh	ж
B	Б
b	б
V	В
v	в
H	Г
h	г
G	Ґ
g	ґ
D	Д
d	д
Z	З
z	з
K	К
k	к
L	Л
l	л
M	М
m	м
N	Н
n	н
P	П
p	п
R	Р
r	р
S	С
s	с
T	Т
t	т
F	Ф
f	ф
X	Х
x	х
C	Ц
c	ц
ʺ	'
